,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Pret
2426,2,"56,3 ",NaN,"63,6 ",decomand,1,Etaj 10 / 11,1,1,2021 (in constructie),beton,bloc de apartamente,P+11E,NaN,NaN,1,82.000
2427,2,64,NaN,100,decomand,1,Etaj 4 / 4,1,1,2019,beton,bloc de apartamente,P+4E,NaN,NaN,NaN,120.000
2428,5,"239,4 ",333.45,382,decomand,lux,Etaj 10 / 10,1,1,2019,beton,bloc de apartamente,S+D+P+10E,NaN,2,4,1.490.000 
2429,3,"92,1 ",105,"126,6 ",decomand,lux,Etaj 2 / 15,1,1,2020 (in constructie),beton,bloc de apartamente,S+P+15E,NaN,NaN,1,399.000
2430,2,"58,33 ",NaN,64,decomand,lux,Etaj 1 / 3,1,1,2020 (in constructie),NaN,bloc de apartamente,P+3E,NaN,NaN,1,83.200
2431,2,68,NaN,70,decomand,1,Etaj 6 / 8,1,1,1997,beton,bloc de apartamente,P+8E,NaN,1,1,145.000
2432,2,"54,1 ",NaN,60,decomand,1,Etaj 2 / 6,1,1,2019,NaN,bloc de apartamente,P+6E,NaN,NaN,NaN,59.900
2433,2,39,NaN,45,semidecomand,1,Etaj 5 / 8,NaN,1,2019,NaN,bloc de apartamente,P+8E,NaN,NaN,NaN,40.500
2434,4,82,82,85,decomand,1,Etaj 10 / 10,1,2,1976,beton,bloc de apartamente,S+P+10E+M,NaN,NaN,2 (închise),78.000
2435,2,64,71,86,semidecomand,NaN,Etaj 3 / 11,1,1,2020 (finalizata),beton,bloc de apartamente,S+P+11E,NaN,NaN,1,139.900
2436,2,"63,9 ",63.9,70,decomand,lux,Etaj 4 / 5,1,1,2019,beton,bloc de apartamente,P+5E,NaN,1,2,57.500
2437,2,58,NaN,66,decomand,1,Etaj 1 / 6,1,1,2020 (finalizata),NaN,bloc de apartamente,P+6E,NaN,NaN,1,92.400
2438,4,105,120,145,decomand,lux,Etaj 4 / 5,1,3,1998,beton,bloc de apartamente,D+P+5E,NaN,NaN,1 (închise),194.000
2439,3,"95,97 ",106.44,"136,64 ",semidecomand,lux,Parter / 11,1,3,NaN,beton,bloc de apartamente,S+P+11E,NaN,NaN,2,171.500
2440,2,56,60,65,semidecomand,1,Etaj 6 / 8,1,1,1985,beton,bloc de apartamente,P+8E,NaN,NaN,1 (închise),89.000
2441,2,38,NaN,45,semidecomand,1,Etaj 2 / 5,NaN,1,2020 (finalizata),NaN,bloc de apartamente,D+P+5E,NaN,NaN,1,32.000
2442,2,53,NaN,62,decomand,1,Etaj 2 / 6,1,1,2021 (in constructie),altele,bloc de apartamente,P+6E,NaN,NaN,1,58.843
2443,2,65,NaN,NaN,decomand,lux,Etaj 1 / 11,NaN,NaN,2017,NaN,bloc de apartamente,P+11E,NaN,NaN,NaN,125.000
2444,3,71,71,97,decomand,lux,Etaj 2 / 11,1,2,2020 (finalizata),beton,bloc de apartamente,S+P+11E,NaN,NaN,1,74.000
2445,3,130,NaN,200,semidecomand,1,Etaj 1 / 6,1,2,2010,altele,bloc de apartamente,P+6E,NaN,1,1,180.000
2446,2,52,NaN,52,decomand,1,Parter / 10,1,1,1976,altele,bloc de apartamente,P+10E,NaN,NaN,1,76.000
2447,3,"95,96 ",NaN,"118,17 ",semidecomand,lux,Etaj 1 / 5,1,2,2021 (in constructie),beton,bloc de apartamente,P+5E,1,1,2,201.900
2448,3,100,165,175,decomand,1,Ultimele 2 etaje / 4,1,2,2019,beton,bloc de apartamente,D+P+4E,1,NaN,1,201.000
2449,2,52,52,65,decomand,1,Etaj 2 / 4,1,1,2020 (finalizata),beton,bloc de apartamente,P+4E,NaN,NaN,1,65.000
2450,3,213,NaN,242,decomand,lux,Parter / 5,1,3,2020 (finalizata),beton,bloc de apartamente,P+5E,1,2,NaN,437.928
2451,2,"68,28 ",NaN,80,decomand,1,Etaj 1 / 3,1,1,2020 (finalizata),beton,bloc de apartamente,P+3E,NaN,NaN,1,100.000
2452,4,184,NaN,290,semidecomand,1,Parter / 5,1,2,2000,beton,bloc de apartamente,P+5E,NaN,NaN,1,295.000
2453,3,100,NaN,110,semidecomand,1,Etaj 2 / 6,1,2,2008,beton,bloc de apartamente,P+6E,NaN,NaN,NaN,199.990
2454,4,92,NaN,100,decomand,1,Parter / 4,1,2,1988,beton,bloc de apartamente,P+4E,NaN,NaN,NaN,160.000
2455,3,90,NaN,103,decomand,1,Etaj 3 / 4,1,2,1985,beton,bloc de apartamente,P+4E,NaN,NaN,2,155.000
