,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Latitudine,Longitudine,Zona,Pret
3254,4,59,61,63,semidecomand,2,Etaj 6 / 10,1,1,1970,beton,bloc de apartamente,S+P+10E,NaN,NaN,1 (închise),44.384866,26.0827438,Zeţarilor,55.500 
3255,3,"69,08 ",NaN,80,decomand,1,Etaj 9 / 10,1,1,1970,beton,bloc de apartamente,P+10E,NaN,NaN,1,44.45331,26.126464,Obor,72.000 
3256,3,77,NaN,88,decomand,lux,Etaj 4 / 6,1,2,2020,beton,bloc de apartamente,P+6E,NaN,1,1 (închise),44.3620418,26.1480984,Apărătorii Patriei,71.900 
3257,3,69,80,80,semidecomand,lux,Parter / 4,1,1,După 2010,beton,bloc de apartamente,S+P+4E,NaN,NaN,1,44.4923399,26.0675947,Băneasa,98.000 
3258,2,50,50,55,decomand,1,Etaj 1 / 10,1,1,1969,beton,bloc de apartamente,P+10E,NaN,NaN,1,44.4263091,26.1671508,Titan,58.500 
3259,2,57,NaN,NaN,decomand,1,Etaj 2 / 4,NaN,NaN,2016,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,44.4302224,26.1567392,Baba Novac,89.900 
3260,2,55,73.2,NaN,decomand,1,Parter / 3,1,1,2019,beton,bloc de apartamente,P+3E,NaN,1,NaN,44.2846408,26.060578,Berceni,49.900 
3261,3,75,NaN,90,semidecomand,1,Etaj 4 / 8,1,1,1972,beton,bloc de apartamente,P+8E,NaN,NaN,1 (închise),44.4456917,26.0871193,Calea Victoriei,139.000 
3262,2,62,NaN,NaN,semidecomand,1,Etaj 1 / 4,NaN,NaN,2020,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,44.3985955,26.0488956,Rahova,62.000 
3263,4,100,100,120,decomand,1,Etaj 5 / 8,1,2,1991,beton,bloc de apartamente,S+P+8E,NaN,2,1,44.4188891,26.1267314,Vitan Mall,135.000 
3264,3,60,NaN,65,decomand,1,Etaj 3 / 3,1,1,1940,caramida,bloc de apartamente,D+P+3E,NaN,NaN,1,44.4288459,26.103945,P-ţa Unirii,62.500 
3265,3,64,64,68,semidecomand,1,Parter / 10,1,1,1969,NaN,bloc de apartamente,P+10E,NaN,NaN,1,44.4397919,26.1338122,Iancului,85.000 
3266,2,59,NaN,69,decomand,1,Etaj 2 / 7,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+7E,NaN,1,1,44.4130088,26.1923616,Theodor Pallady,60.000 
3267,3,65,65,77,semidecomand,lux,Etaj 4 / 5,1,2,2020,beton,bloc de apartamente,S+P+5E,NaN,NaN,1,44.4088808,26.1262873,Splaiul Unirii,98.000 
3268,3,85,NaN,95,decomand,lux,Etaj 3 / 6,1,2,2022 (in constructie),beton,bloc de apartamente,S+P+6E,NaN,NaN,1,44.4766244,26.0944773,Herăstrău,378.500 
3269,3,70,NaN,75,decomand,1,Etaj 4 / 10,1,2,1979,beton,bloc de apartamente,P+10E,NaN,2,1,44.4160902,26.183319,Titan,88.900 
3270,3,"97,76 ",NaN,"130,86 ",decomand,lux,Etaj 2 / 3,1,2,2020,beton,bloc de apartamente,S+P+3E+M,NaN,1,3,44.4654589,26.1169492,Barbu Văcărescu,173.547 
3271,2,60,NaN,NaN,decomand,1,Etaj 4 / 11,NaN,NaN,2010,NaN,bloc de apartamente,P+11E,NaN,NaN,NaN,44.3900566,26.2021266,Central,64.000 
3272,4,98,NaN,98,decomand,1,Etaj 8 / 8,1,2,1986,altele,bloc de apartamente,P+8E,NaN,NaN,2,44.39481,26.11133,Brâncoveanu,118.500 
3273,5,106,NaN,115,decomand,1,Etaj 4 / 4,1,2,1984,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.4794651,26.0941809,Aviaţiei,167.000 
3274,1,31,NaN,35,decomand,1,Etaj 2 / 5,NaN,1,2020,caramida,bloc de apartamente,D+P+5E,NaN,NaN,1,44.4390917,25.9851889,Militari,26.900 
3275,2,75,NaN,90,decomand,1,Mansarda / 5,1,1,2009,beton,bloc de apartamente,P+5E,NaN,1,NaN,44.41837,26.14354,Dristor,72.900 
3276,5,246,260,"319,4 ",decomand,lux,Etaj 14 / 15,1,4,2020,beton,bloc de apartamente,S+P+15E,NaN,NaN,2,44.4649433,26.1014111,Primăverii,1.795.000 
3277,2,55,NaN,64,decomand,1,Etaj 1 / 3,NaN,NaN,2013,NaN,bloc de apartamente,D+P+3E,NaN,1,1,44.4358909,25.9979099,Uverturii,54.900 
3278,3,78,78,85,decomand,lux,Parter / 3,1,2,2020,beton,bloc de apartamente,S+P+3E,NaN,NaN,NaN,44.5033253,26.1264098,Pipera,97.375 
3279,3,60,NaN,73,decomand,1,Etaj 5 / 6,1,1,2003,beton,bloc de apartamente,P+6E,NaN,NaN,1,44.388809,26.102234,Berceni,55.500 
3280,1,36,41.1,"49,8 ",decomand,lux,Etaj 1 / 10,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+10E,NaN,NaN,1,44.4468069,26.1293158,Bucur Obor,68.150 
3281,3,67,NaN,73,decomand,1,Etaj 4 / 6,1,1,2020,NaN,bloc de apartamente,P+6E,NaN,NaN,1,44.4358975,26.0175193,Gorjului,68.900 
3282,3,"62,05 ",71.93,"85,37 ",decomand,lux,Etaj 1,1,1,2021 (in constructie),beton,bloc de apartamente,S+P,NaN,NaN,1,44.4123524,26.1220203,Timpuri Noi,114.300 
3283,3,70,NaN,70,semidecomand,1,Etaj 4 / 11,1,2,2009,altele,bloc de apartamente,P+11E,NaN,NaN,NaN,44.42335,26.17778,Titan,88.000 
3284,2,62,65,70,decomand,1,Etaj 1 / 9,1,1,2020,beton,bloc de apartamente,P+9E,NaN,70,1,44.3734854,26.1151123,Berceni,50.000 
3285,3,58,61,NaN,semidecomand,1,Etaj 2 / 8,1,1,1962,beton,bloc de apartamente,P+8E,NaN,NaN,1,44.4532795,26.1020876,Ştefan cel Mare,69.900 
3286,3,"80,4 ",80.4,"86,74 ",decomand,lux,Etaj 4 / 7,1,2,2021 (in constructie),beton,bloc de apartamente,P+7E,NaN,NaN,2,44.4935276,26.1202049,Aviaţiei,116.000 
3287,3,59,NaN,69,semidecomand,1,Etaj 3 / 4,NaN,1,1962,NaN,bloc de apartamente,S+P+4E,NaN,1,NaN,44.4615772,26.0407416,Crângaşi,58.500 
3288,4,100,NaN,115,NaN,NaN,Etaj 3 / 5,1,1,Înainte de 1941,NaN,bloc de apartamente,P+5E,NaN,NaN,1,44.4337808,26.1007033,Cişmigiu,130.000 
3289,3,70,NaN,70,decomand,1,Etaj 7 / 8,1,1,1982,altele,bloc de apartamente,P+8E,NaN,NaN,1,44.42321,26.17489,Titan,87.000 
3290,2,61,NaN,70,decomand,1,Etaj 2 / 7,1,1,2021 (in constructie),beton,bloc de apartamente,P+7E,NaN,1,1,44.4129788,26.1922416,1 Decembrie 1918,60.000 
3291,2,50,52,56,NaN,lux,Parter,1,1,2021 (in constructie),beton,bloc de apartamente,NaN,NaN,NaN,1,44.5348272,26.0952422,Băneasa,68.236 
3292,4,152,NaN,176,decomand,lux,Parter / 5,1,3,2018,beton,bloc de apartamente,S+D+P+5E,NaN,2,1,44.4662515,26.0877539,Primăverii,870.000 
3293,3,"132,6 ",NaN,160,decomand,lux,Etaj 2 / 2,1,1,2010,beton,casa/vila,P+2E+M,NaN,1,1,44.435378,25.9817125,Păcii,74.950 
3294,2,36,NaN,43,NaN,NaN,Etaj 1 / 2,1,1,2020,beton,bloc de apartamente,P+2E,NaN,1,1 (închise),44.3737358,26.1609084,Olteniţei,29.500 
3295,3,64,70,70,decomand,1,Etaj 8 / 10,1,1,1970,beton,bloc de apartamente,P+10E,NaN,NaN,1 (închise),44.441839,26.175413,Pantelimon,61.000 
3296,4,110,NaN,132,decomand,1,Etaj 3 / 6,1,2,1947,beton,bloc de apartamente,P+6E,NaN,NaN,2,44.4441457,26.1091115,Eminescu,169.000 
3297,3,94,94,118,decomand,1,Etaj 5 / 5,1,1,2021 (in constructie),beton,bloc de apartamente,P+5E,NaN,NaN,2,44.3691831,26.146697,Berceni,70.380 
3298,3,60,NaN,60,decomand,1,Parter / 5,1,2,2020,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,44.368695,26.1068118,Brâncoveanu,60.500 
3299,4,100,NaN,125,semidecomand,1,Etaj 3 / 7,1,2,1941,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4498444,26.0880691,Calea Victoriei,85.000 
3300,1,30,NaN,35,decomand,1,Etaj 2 / 4,1,1,1980,beton,bloc de apartamente,P+4E,NaN,1,1 (închise),44.412061,26.1488543,Dristor,36.500 
3301,3,"47,81 ",49.18,57,semidecomand,1,Etaj 9 / 10,1,1,1978,beton,bloc de apartamente,P+10E,NaN,NaN,1,44.4512704,26.0791921,P-ţa Victoriei,90.000 
3302,2,37,37,42,semidecomand,2,Etaj 1 / 4,1,1,1971,beton,bloc de apartamente,P+4E,NaN,NaN,1 (închise),44.379975,26.1040867,Berceni,43.500 
3303,2,59,NaN,63,decomand,1,Etaj 3 / 8,1,1,2013,NaN,bloc de apartamente,P+8E,NaN,NaN,NaN,44.4748171,26.1572693,Colentina,72.000 
3304,3,65,NaN,70,semidecomand,1,Etaj 5 / 6,NaN,1,1980,lemn,bloc de apartamente,S+P+6E,NaN,NaN,1,44.38017,26.10945,Brâncoveanu,57.000 
3305,2,40,NaN,45,decomand,1,Etaj 6 / 10,1,1,1972,beton,bloc de apartamente,P+10E,NaN,NaN,1,44.4106006,26.0166389,Drumul Taberei,46.000 
3306,3,100,NaN,NaN,decomand,lux,Mansarda / 2,NaN,2,2020,NaN,casa/vila,P+2E,NaN,NaN,NaN,44.411233,26.0735592,Sebastian,115.000 
