,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Latitudine,Longitudine,Zona,Pret
0,3,131,NaN,NaN,NaN,1,Parter / 5,1,1,2020,beton,bloc de apartamente,P+5E,NaN,1,NaN,44.412061,26.0147224,Drumul Taberei,75.600 
1,2,67,87,NaN,decomand,1,Etaj 2 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,1,2,44.4118545,26.0146691,Drumul Taberei,35.800 
2,2,65,65,65,decomand,1,Etaj 1 / 5,1,1,2020,beton,bloc de apartamente,P+5E,NaN,NaN,1 (închise),44.4110472,26.0150025,Drumul Taberei,42.400 
3,1,52,52,68,decomand,lux,Etaj 10 / 10,1,1,2016,beton,bloc de apartamente,S+P+10E,NaN,NaN,1 (închise),44.4074899,25.9893806,Drumul Taberei,43.500 
4,4,174,NaN,207,decomand,lux,Etaj 5 / 5,1,3,2021 (in constructie),beton,bloc de apartamente,D+P+5E,NaN,NaN,1,44.4813922,26.0900869,Herăstrău,399.888 
5,5,260,NaN,300,decomand,lux,Etaj 5 / 5,1,3,2021,beton,bloc de apartamente,D+P+5E,NaN,NaN,NaN,44.4792291,26.0937683,Herăstrău,675.000 
6,3,"104,26 ",138.98,173,decomand,lux,Etaj 9 / 11,1,2,2020,beton,bloc de apartamente,S+P+11E,NaN,1 - Inclus în preț,2,44.4778094,26.1076875,Herăstrău,315.000 
7,2,47,NaN,53,decomand,lux,Etaj 2 / 4,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+4E,1,1,1,44.4451112,25.9689964,Militari,41.000 
8,3,70,NaN,72,decomand,lux,Etaj 2 / 4,1,2,2021 (in constructie),beton,bloc de apartamente,P+4E,NaN,1,1,44.4388705,25.9689523,Militari,60.000 
9,1,34,NaN,38,decomand,lux,Etaj 1 / 4,1,1,2021 (in constructie),beton,bloc de apartamente,P+4E,NaN,1,1,44.4373439,25.9708203,Militari,28.000 
10,1,38,38,38,decomand,1,Etaj 1 / 3,1,1,2020,beton,bloc de apartamente,P+3E,NaN,NaN,1,44.4431659,26.019809,Militari,27.500 
11,2,50,NaN,55,decomand,1,Etaj 2 / 5,NaN,1,2020,NaN,bloc de apartamente,D+P+5E,NaN,NaN,1,44.4369366,25.9829342,Militari,41.500 
12,1,31,NaN,35,decomand,1,Etaj 1 / 5,NaN,1,2020,caramida,bloc de apartamente,D+P+5E,NaN,NaN,1,44.4367121,25.987794,Militari,28.500 
13,2,36,NaN,45,semidecomand,1,Etaj 2 / 5,NaN,1,2020,NaN,bloc de apartamente,D+P+5E,NaN,NaN,1,44.4395792,25.9863028,Militari,32.000 
14,2,41,41,49,decomand,NaN,Etaj 1 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.4467503,25.9925569,Militari,35.500 
15,2,55,55,62,decomand,lux,Etaj 2 / 3,1,1,2020,beton,bloc de apartamente,P+3E,NaN,1 - Inclus în preț,1,44.2779122,26.0620365,Berceni,40.000 
16,6,334,NaN,401,decomand,lux,Etaj 10 / 12,NaN,4,2019,NaN,bloc de apartamente,S+P+12E,3,3,NaN,44.4868569,26.0899969,Herăstrău,2.350.000 
17,2,51,51,59,decomand,1,Etaj 2 / 4,1,1,2020,beton,bloc de apartamente,S+P+4E,NaN,1,1,44.5127201,26.1399085,Pipera,62.000 
18,3,"80,15 ",NaN,"103,15 ",decomand,lux,Etaj 1 / 3,1,2,2020,beton,bloc de apartamente,P+3E,NaN,1,NaN,44.5103995,26.1032534,Pipera,134.500 
19,2,"46,18 ",46.18,55,decomand,lux,Etaj 2 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+6E+M,NaN,NaN,1,44.4371029,25.9876636,Militari,45.188 
20,3,72,NaN,91,semidecomand,lux,Etaj 15 / 20,1,2,2022 (in constructie),beton,bloc de apartamente,S+P+20E,NaN,NaN,1,44.4689811,26.1101878,Floreasca,369.000 
21,2,67,67,67,decomand,1,Etaj 1 / 4,1,1,2019,beton,bloc de apartamente,P+4E,NaN,NaN,2 (închise),44.4132544,26.0328553,Drumul Taberei,37.000 
22,2,65,65,75,decomand,1,Etaj 1 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,1,1,44.5345101,26.1428691,Pipera,74.700 
23,5,"288,56 ",NaN,"345,23 ",NaN,lux,Etaj 5 / 5,1,3,2021 (in constructie),NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,44.4770691,26.0923759,Herăstrău,850.000 
24,2,58,58,66,decomand,1,Etaj 1 / 4,1,1,2020,beton,bloc de apartamente,S+P+4E,1,NaN,1,44.5130566,26.1400164,Pipera,67.000 
25,2,52,NaN,67,decomand,lux,Etaj 2 / 20,1,1,2022 (in constructie),beton,bloc de apartamente,S+D+P+20E,NaN,NaN,1,44.4691104,26.1101175,Floreasca,149.000 
26,4,"90,39 ",104.5,124,semidecomand,1,Etaj 5 / 5,1,3,2018,beton,bloc de apartamente,P+5E,NaN,2,1,44.534176,26.0959182,Baneasa,135.000 
27,4,"196,07 ",206,"244,57 ",decomand,lux,Etaj 11 / 12,1,4,2020,beton,bloc de apartamente,S+P+12E,NaN,NaN,3,44.4835791,26.1084945,Aviaţiei,500.000 
28,2,"70,24 ",70.24,"80,75 ",decomand,lux,Etaj 8 / 9,1,1,2019,beton,bloc de apartamente,S+P+9E,NaN,NaN,1 (închise),44.4075187,25.9894217,Drumul Taberei,55.192 
29,2,53,53,"58,9 ",semidecomand,1,Etaj 2 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.4937649,26.1263887,Pipera,69.900 
30,3,"70,12 ",73.72,"88,66 ",decomand,1,Etaj 2 / 9,1,2,2021 (in constructie),beton,bloc de apartamente,S+P+9E+M,NaN,NaN,1,44.5133125,26.1033401,Băneasa,112.000 
31,2,"69,57 ",69.57,"83,48 ",decomand,lux,Etaj 1 / 13,1,1,2016,beton,bloc de apartamente,S+P+13E,1,1,1,44.4903025,26.0883213,Herăstrău,199.000 
32,2,46,NaN,56,decomand,lux,Etaj 3 / 7,1,1,2020,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4422988,25.9768771,Militari,41.900 
33,2,"70,09 ",70.09,"81,2 ",decomand,lux,Etaj 2 / 9,1,1,2019,beton,bloc de apartamente,S+P+9E,NaN,NaN,1 (închise),44.4077442,25.9901533,Drumul Taberei,56.000 
34,3,67,67,NaN,decomand,NaN,Etaj 6 / 6,1,2,2021 (in constructie),beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.4469007,25.9925134,Militari,54.000 
35,2,54,54,NaN,decomand,1,Etaj 8 / 10,1,1,2020,beton,bloc de apartamente,D+P+10E,NaN,NaN,1,44.4347288,25.9923847,Militari,61.500 
36,2,51,58,70,decomand,lux,Etaj 1 / 3,1,1,2021 (in constructie),caramida,bloc de apartamente,P+3E,NaN,NaN,1,44.3703123,26.101711,Brâncoveanu,53.200 
37,3,72,90,110,decomand,1,Etaj 5 / 7,1,2,2019,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4640494,26.0635035,Domenii,163.000 
38,5,"241,83 ",NaN,"293,2 ",decomand,lux,Etaj 2 / 2,1,3,2021 (in constructie),beton,bloc de apartamente,P+2E,NaN,NaN,5,44.4641584,26.1084468,Floreasca,1.030.000 
39,2,60,60,70,decomand,1,Etaj 2 / 8,1,1,2020,beton,bloc de apartamente,D+P+8E,NaN,1,1 (închise),44.438322,25.9785024,Militari,62.700 
40,2,41,41,NaN,decomand,NaN,Etaj 6 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.4470233,25.9924919,Militari,34.600 
41,3,77,NaN,87,semidecomand,1,Etaj 4 / 7,1,2,2020,caramida,bloc de apartamente,S+D+P+7E,NaN,NaN,2,44.491077,26.089382,Herăstrău,174.000 
42,2,"83,45 ",NaN,"99,92 ",decomand,1,Etaj 3 / 7,1,1,2021,beton,bloc de apartamente,S+P+7E,NaN,NaN,NaN,44.486888,26.1162891,Pipera,95.000 
43,2,48,52,65,semidecomand,1,Etaj 1 / 3,1,1,2021 (in constructie),caramida,bloc de apartamente,P+3E,NaN,NaN,1,44.3702473,26.1019049,Brâncoveanu,49.400 
44,2,70,70,80,decomand,lux,Etaj 1 / 5,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+5E,NaN,NaN,1 (închise),44.3761394,26.1106631,Brâncoveanu,80.000 
45,3,67,NaN,85,decomand,1,Etaj 1 / 5,1,2,2020,beton,bloc de apartamente,P+5E,NaN,NaN,2,44.4232944,26.1745403,Titan,103.000 
46,2,63,63,85,decomand,lux,Etaj 3 / 11,1,1,2020,beton,bloc de apartamente,S+P+11E,NaN,NaN,NaN,44.4496494,26.0251076,Militari,65.900 
47,2,51,NaN,59,decomand,1,Etaj 6 / 6,1,1,2020,beton,bloc de apartamente,P+6E,NaN,1,1,44.4479476,25.9922133,Militari,42.000 
48,3,"84,32 ",91.5,105,decomand,1,Etaj 2 / 3,1,2,2021 (in constructie),caramida,bloc de apartamente,P+3E,NaN,NaN,1,44.3702203,26.1016681,Brâncoveanu,80.750 
49,1,27,27,36,decomand,NaN,Etaj 1 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.4469697,25.992449,Militari,23.000 
50,2,"54,5 ",66,79,decomand,lux,Etaj 9 / 11,1,1,2020,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4777913,26.1076762,Herăstrău,159.600 
51,2,46,NaN,54,decomand,1,Etaj 1 / 7,1,1,2021 (finalizata),altele,bloc de apartamente,P+7E,NaN,1,1,44.4142453,26.1964727,Theodor Pallady,47.990 
52,2,"51,04 ",NaN,"61,24 ",decomand,1,Etaj 3 / 3,1,1,2020,beton,bloc de apartamente,P+3E,NaN,1,1,44.4469547,26.0219929,Militari,42.900 
53,4,91,102,125,decomand,1,Etaj 2 / 7,1,2,2019,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4638452,26.0635247,Domenii,209.000 
54,3,95,NaN,117,decomand,1,Etaj 2 / 3,1,2,2020,NaN,bloc de apartamente,P+3E,NaN,NaN,1,44.4594272,26.1124741,Lacul Tei,181.650 
55,2,58,NaN,70,decomand,lux,Etaj 3 / 9,1,1,2021 (in constructie),NaN,bloc de apartamente,P+9E,NaN,NaN,1,44.424067,26.1734006,Liviu Rebreanu,79.500 
56,4,"159,8 ",NaN,174,decomand,lux,Etaj 8 / 8,1,2,2020,NaN,bloc de apartamente,P+8E,NaN,NaN,NaN,44.4637353,26.1133067,Floreasca,1.260.330 
57,2,61,NaN,76,decomand,1,Etaj 2 / 3,1,1,2020,caramida,bloc de apartamente,P+3E,NaN,NaN,1,44.4592809,26.1120679,Lacul Tei,111.300 
58,4,130,NaN,156,NaN,NaN,Etaj 10 / 10,NaN,NaN,2020,NaN,bloc de apartamente,P+10E,NaN,NaN,NaN,44.4708385,26.1135312,Floreasca,470.000 
59,3,75,87,106,decomand,1,Etaj 5 / 7,1,1,2019,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4638963,26.0634606,Domenii,177.000 
60,1,39,41,52,decomand,NaN,Etaj 2 / 3,1,1,2021 (in constructie),beton,bloc de apartamente,P+3E,NaN,NaN,1,44.3703737,26.1015822,Brâncoveanu,40.755 
61,4,123,NaN,154,decomand,lux,Etaj 1 / 20,1,3,2022 (in constructie),beton,bloc de apartamente,S+D+P+20E,NaN,NaN,1,44.4680713,26.1101667,Floreasca,399.000 
62,3,82,90,111,decomand,lux,Etaj 4 / 11,1,2,2019,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4731283,26.0555784,Domenii,193.620 
63,3,88,NaN,"103,3 ",decomand,lux,Etaj 1 / 20,1,2,2022 (in constructie),beton,bloc de apartamente,S+D+P+20E,NaN,NaN,1,44.468111,26.1105532,Floreasca,299.000 
64,5,203,NaN,253,decomand,lux,Etaj 16 / 20,1,4,2022 (in constructie),beton,bloc de apartamente,S+D+P+20E,NaN,NaN,1,44.4679297,26.1100594,Floreasca,899.000 
65,4,125,NaN,164,decomand,lux,Etaj 5 / 20,1,3,2022 (in constructie),beton,bloc de apartamente,S+P+20E,NaN,NaN,1,44.4689685,26.110124,Floreasca,419.000 
66,5,210,NaN,252,decomand,lux,Etaj 18 / 20,1,4,2022 (in constructie),beton,bloc de apartamente,S+P+20E,NaN,NaN,1,44.4693002,26.1102525,Floreasca,989.000 
67,4,135,NaN,164,decomand,lux,Etaj 10 / 10,1,3,2020,NaN,bloc de apartamente,P+10E,NaN,NaN,NaN,44.4679345,26.1100188,Floreasca,510.000 
68,6,530,530,647,decomand,lux,Ultimele 2 etaje / 20,1,5,2022 (in constructie),beton,bloc de apartamente,S+P+20E,NaN,NaN,3,44.4692781,26.1102362,Floreasca,3.850.000 
69,2,65,NaN,72,decomand,1,Etaj 1 / 5,1,1,2020,beton,bloc de apartamente,D+P+5E,NaN,NaN,1,44.3695876,26.1537219,NaN,52.480 
70,2,"55,5 ",NaN,63,decomand,lux,Etaj 11 / 11,1,1,2018,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4331528,26.041297,Lujerului,115.000 
71,4,100,109,133,decomand,lux,Etaj 3 / 12,1,2,2021 (in constructie),beton,bloc de apartamente,S+P+12E,NaN,NaN,1,44.4746031,26.0545626,Domenii,233.124 
72,2,"78,2 ",78.2,"78,2 ",decomand,1,Parter / 3,1,1,2020,beton,bloc de apartamente,P+3E,NaN,NaN,2,44.4060965,26.165344,Nicolae Grigorescu,87.000 
73,2,"56,78 ",NaN,"67,88 ",decomand,1,Etaj 1 / 5,1,1,2020,beton,bloc de apartamente,P+5E,NaN,NaN,1,44.4919358,26.1226455,Pipera,85.000 
74,3,"85,04 ",94.92,"114,06 ",decomand,lux,Etaj 2 / 11,1,2,NaN,beton,bloc de apartamente,S+P+11E,NaN,NaN,2,44.4838351,26.1091469,Aviaţiei,148.000 
75,2,56,NaN,NaN,decomand,1,Etaj 10 / 10,1,1,2020,beton,bloc de apartamente,P+10E,NaN,NaN,1,44.4405413,25.9782719,Militari,57.400 
76,2,"54,15 ",62.95,"74,98 ",semidecomand,2,Etaj 4,1,2,2016,beton,bloc de apartamente,D+P,NaN,NaN,1,44.4143205,26.1616037,Nicolae Grigorescu,95.000 
77,2,54,NaN,71,decomand,1,Etaj 6 / 10,1,1,2020,beton,bloc de apartamente,S+D+P+10E+M,NaN,NaN,1,44.4350933,25.9927213,Păcii,57.000 
78,3,"89,43 ",103.92,"128,24 ",decomand,lux,Etaj 11 / 12,1,3,2020,beton,bloc de apartamente,S+P+12E,NaN,NaN,2,44.484467,26.1084515,Aviaţiei,167.000 
79,2,57,57,67,decomand,lux,Etaj 4 / 5,1,1,2020,beton,bloc de apartamente,D+P+5E,NaN,NaN,1 (închise),44.3761394,26.1112639,Brâncoveanu,69.500 
80,2,42,42,52,decomand,lux,Etaj 3 / 5,1,1,2020,beton,bloc de apartamente,D+P+5E,NaN,NaN,1 (închise),44.3762066,26.1108203,Brâncoveanu,56.000 
81,1,32,NaN,43,decomand,1,Etaj 2 / 7,1,1,2020,beton,bloc de apartamente,D+P+7E,NaN,1,1,44.4379466,25.9874502,Militari,28.900 
82,3,72,NaN,NaN,decomand,NaN,Etaj 7 / 7,1,2,2021 (in constructie),beton,bloc de apartamente,D+P+7E,NaN,1,1,44.4434849,25.9874932,Militari,59.900 
83,2,53,NaN,64,decomand,1,Etaj 2 / 3,1,1,2019,beton,bloc de apartamente,P+3E,NaN,NaN,1,44.4449858,26.0191722,Militari,42.900 
84,1,39,39,47,decomand,1,Etaj 2 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,P+6E,NaN,NaN,1,44.3654334,26.1534468,Berceni,33.900 
85,3,92,118,125,decomand,lux,Etaj 1 / 4,1,2,2020,NaN,bloc de apartamente,P+4E,NaN,NaN,3,44.4925504,26.1008323,Aviaţiei,129.000 
86,2,54,54,59,decomand,lux,Etaj 1 / 2,1,1,2020,beton,bloc de apartamente,D+P+2E,NaN,1,1,44.4030813,26.1766574,Titan,50.000 
87,2,53,53,57,decomand,1,Etaj 2 / 3,1,1,2020,beton,bloc de apartamente,D+P+3E,NaN,NaN,1,44.402867,26.1761004,Titan,49.000 
88,3,70,NaN,91,semidecomand,lux,Parter / 4,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+4E,NaN,1,1,44.5399056,25.9823868,Pipera,90.480 
89,3,80,NaN,NaN,decomand,1,Etaj 4 / 4,1,2,2018,beton,bloc de apartamente,S+P+4E+M,NaN,NaN,1,44.3941282,26.1276002,Sud,114.000 
90,3,83,83,93,decomand,1,Etaj 1 / 4,2,2,2020,beton,bloc de apartamente,D+P+4E,NaN,1,2,44.533972,26.1425046,Pipera,89.770 
91,3,90,90,108,decomand,lux,Etaj 5 / 11,1,2,2019,beton,bloc de apartamente,S+P+11E,1,1,1,44.4887582,26.1301125,Pipera,184.900 
92,2,66,NaN,70,decomand,1,Etaj 1 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.4074524,25.9895758,Prelungirea Ghencea,48.000 
93,2,"51,04 ",NaN,"61,24 ",decomand,1,Etaj 3 / 3,1,1,2018,beton,bloc de apartamente,P+3E,NaN,NaN,1,44.4456336,26.0178517,Militari,42.900 
94,2,46,NaN,57,decomand,1,Etaj 2 / 7,NaN,1,2021 (in constructie),beton,bloc de apartamente,P+7E,NaN,NaN,1,44.411608,26.200039,Theodor Pallady,47.990 
95,4,"177,43 ",NaN,"207,12 ",NaN,lux,Etaj 5 / 5,1,3,2020,beton,bloc de apartamente,P+5E,NaN,NaN,NaN,44.4759474,26.0878484,Herăstrău,450.000 
96,2,62,NaN,72,decomand,NaN,Etaj 1 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.410817,26.0081352,Drumul Taberei,58.000 
97,3,95,120,230,decomand,lux,Parter / 4,1,2,2017,beton,bloc de apartamente,S+D+P+4E,1,1 - Inclus în preț,2,44.494224,26.1364309,Pipera,169.900 
98,2,53,55,65,decomand,1,Etaj 2 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,1,1,44.4077585,26.0001709,Prelungirea Ghencea,43.800 
99,2,53,NaN,55,decomand,1,Etaj 1 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.4073629,25.9895722,Prelungirea Ghencea,44.500 
100,2,53,NaN,55,decomand,1,Etaj 1 / 4,1,1,2020,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.4078535,25.9915034,Prelungirea Ghencea,44.500 
101,2,66,66,79,decomand,1,Etaj 1 / 5,1,1,2020,beton,bloc de apartamente,D+P+5E,NaN,NaN,1,44.3606728,26.1499049,Berceni,54.900 
102,4,133,NaN,181,decomand,lux,Etaj 2 / 5,NaN,NaN,2021 (in constructie),beton,bloc de apartamente,D+P+5E,NaN,NaN,NaN,44.4652735,26.1013431,Floreasca,468.000 
103,4,130,NaN,156,decomand,lux,Parter / 2,1,2,2021 (in constructie),beton,bloc de apartamente,P+2E,NaN,2,NaN,44.4661971,26.1061561,Floreasca,778.000 
104,3,"90,23 ",NaN,"111,7 ",semidecomand,lux,Etaj 1 / 2,1,2,2021 (in constructie),beton,bloc de apartamente,P+2E,NaN,NaN,NaN,44.4665818,26.1057159,Floreasca,455.000 
105,3,93,NaN,127,semidecomand,lux,Etaj 2 / 5,NaN,NaN,2021 (in constructie),beton,bloc de apartamente,D+P+5E,NaN,NaN,NaN,44.4653147,26.1015588,Floreasca,363.900 
106,4,121,159,194,decomand,1,Etaj 7 / 7,1,3,2019,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4639269,26.0633318,Domenii,343.000 
107,2,"58,27 ",NaN,70,semidecomand,lux,Etaj 2 / 5,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+5E,NaN,NaN,1,44.4823888,26.0892669,Herăstrău,138.000 
108,5,165,NaN,260,decomand,lux,Etaj 4 / 5,1,4,2020,beton,bloc de apartamente,P+5E,NaN,2,4,44.4846129,26.0802217,Herăstrău,510.000 
109,5,"250,16 ",NaN,390,decomand,lux,Etaj 9 / 9,1,4,2019,beton,bloc de apartamente,P+9E,NaN,2,NaN,44.4750115,26.0879831,Herăstrău,1.488.800 
110,3,71,71,84,decomand,1,Etaj 2 / 8,1,2,2020,beton,bloc de apartamente,D+P+8E,NaN,1,1 (închise),44.4381865,25.9783305,Militari,73.200 
111,2,63,63,86,decomand,lux,Etaj 2 / 11,1,1,2020,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4494056,26.0230485,Militari,65.900 
112,4,108,NaN,120,decomand,1,Etaj 1 / 4,1,3,2020,beton,bloc de apartamente,S+P+4E,NaN,NaN,1,44.5150643,26.1029612,Băneasa,145.800 
113,2,50,50,57,decomand,1,Etaj 2 / 7,1,1,2021 (in constructie),beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4127941,26.2031338,Theodor Pallady,53.490 
114,2,"47,51 ",61.64,"77,1 ",semidecomand,2,Parter / 4,1,2,2016,beton,bloc de apartamente,S+P+4E,NaN,NaN,1,44.4142718,26.1615387,Nicolae Grigorescu,87.000 
115,2,"65,5 ",65.5,79,decomand,1,Etaj 2 / 6,1,1,2020,beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.3606094,26.1498935,Berceni,63.950 
116,3,82,90.2,"110,6 ",decomand,lux,Etaj 5 / 11,1,2,2020,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4741953,26.0554898,1 Mai,179.237 
117,2,60,60,70,decomand,lux,Etaj 1 / 5,1,1,2020,beton,bloc de apartamente,D+P+5E,NaN,NaN,1 (închise),44.3762296,26.1107344,Brâncoveanu,69.000 
118,2,55,55,65,decomand,1,Etaj 2 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,P+6E,NaN,NaN,1,44.3652494,26.1534468,Berceni,49.800 
119,2,68,68,75,decomand,lux,Etaj 1 / 3,1,1,2020,beton,bloc de apartamente,P+3E,NaN,NaN,1,44.5020961,26.1259169,Pipera,74.394 
120,2,NaN,52,68,decomand,lux,Etaj 1 / 4,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+4E,NaN,1,1,44.5394161,25.9820435,Pipera,67.600 
121,2,50,50,62,decomand,1,Etaj 4 / 4,1,1,2019,beton,bloc de apartamente,P+4E,NaN,NaN,1,44.3917994,26.0114182,Prelungirea Ghencea,43.850 
122,3,72,72,90,decomand,lux,Etaj 3 / 7,1,2,2019,beton,bloc de apartamente,D+P+7E,NaN,NaN,2,44.4383143,25.9872786,Militari,62.900 
123,2,"57,98 ",57.98,"63,39 ",decomand,lux,Etaj 3 / 7,1,1,2021 (in constructie),NaN,bloc de apartamente,P+7E,NaN,NaN,1,44.4933975,26.1204234,Pipera,89.303 
124,2,"57,67 ",57.67,"63,39 ",decomand,lux,Etaj 2 / 7,1,1,2021 (in constructie),NaN,bloc de apartamente,P+7E,NaN,NaN,1,44.4926857,26.1205951,Pipera,92.111 
125,2,"61,4 ",80.55,"96,66 ",decomand,lux,Etaj 3 / 13,1,2,2016,beton,bloc de apartamente,S+P+13E,1,1,1,44.4903545,26.0888007,Herăstrău,225.000 
126,2,"69,3 ",69.3,"86,05 ",decomand,lux,Etaj 11 / 13,1,1,2016,beton,bloc de apartamente,S+P+13E,1,1,1,44.4902015,26.087921,Herăstrău,230.000 
127,2,"57,98 ",57.98,"63,39 ",decomand,lux,Etaj 6 / 7,1,1,2021 (in constructie),NaN,bloc de apartamente,P+7E,NaN,NaN,1,44.4933363,26.120166,Pipera,89.493 
128,2,"57,67 ",57.67,"64,26 ",decomand,lux,Etaj 3 / 7,1,1,2021 (in constructie),beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4934765,26.120273,Băneasa,89.303 
129,2,48,NaN,59,decomand,1,Etaj 1 / 4,NaN,1,2021 (in constructie),beton,bloc de apartamente,P+4E,NaN,NaN,1,44.4138988,26.1919811,Theodor Pallady,52.500 
130,2,56,56,68,decomand,1,Etaj 2 / 5,1,1,2018,beton,bloc de apartamente,S+P+5E,NaN,NaN,1,44.3605133,26.1467869,Berceni,53.900 
131,3,"70,25 ",70.25,"85,21 ",decomand,lux,Etaj 4 / 7,1,2,2019,beton,bloc de apartamente,S+P+7E,NaN,NaN,1,44.4895465,26.1303378,Pipera,128.500 
132,3,"69,86 ",69.86,"85,21 ",decomand,lux,Etaj 3 / 7,1,2,2019,beton,bloc de apartamente,S+P+7E,NaN,NaN,1,44.4895389,26.1303485,Pipera,128.500 
133,2,"58,42 ",58.42,"71,23 ",decomand,lux,Etaj 5 / 11,1,1,2019,beton,bloc de apartamente,S+P+11E,NaN,NaN,1,44.4897704,26.1301792,Pipera,108.000 
134,5,182,NaN,NaN,decomand,1,Etaj 9 / 9,NaN,3,2018,NaN,bloc de apartamente,P+9E,NaN,NaN,NaN,44.5303668,26.1451006,1 Decembrie 1918,225.000 
135,4,109,NaN,NaN,decomand,lux,Etaj 3 / 5,NaN,2,2019,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,44.5028506,26.0532598,Siseşti,139.000 
136,3,90,NaN,NaN,decomand,lux,Etaj 6 / 8,NaN,2,2014,NaN,bloc de apartamente,P+8E,NaN,NaN,NaN,44.4910972,26.0905444,Aviaţiei,180.000 
137,3,109,NaN,NaN,decomand,lux,Etaj 5 / 5,NaN,2,2020,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,44.5032679,26.0497013,Siseşti,125.000 
138,4,186,NaN,NaN,decomand,lux,Etaj 4 / 13,NaN,3,2008,NaN,bloc de apartamente,P+13E,NaN,NaN,NaN,44.4540931,26.1076584,Ştefan cel Mare,485.000 
139,2,64,NaN,NaN,decomand,1,Etaj 4 / 10,NaN,NaN,2020,NaN,bloc de apartamente,P+10E,NaN,NaN,NaN,44.4710858,26.057666,1 Mai,142.000 
140,2,55,NaN,NaN,decomand,1,Etaj 1 / 10,NaN,NaN,Între 1977 şi 1990,NaN,bloc de apartamente,P+10E,NaN,NaN,NaN,44.4061993,26.064537,Rahova,64.500 
141,2,56,NaN,NaN,semidecomand,1,Parter,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.5304137,26.1436549,Central,84.990 
142,2,64,NaN,NaN,decomand,1,Parter / 3,NaN,NaN,Între 1990 şi 2000,NaN,bloc de apartamente,P+3E,NaN,NaN,NaN,44.4823069,26.0993134,Aviaţiei,129.500 
143,3,74,NaN,NaN,decomand,lux,Parter / 5,NaN,2,2020,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,44.5032679,26.0497013,Siseşti,129.500 
144,4,79,NaN,NaN,semidecomand,1,Etaj 3 / 4,NaN,2,Între 1977 şi 1990,NaN,bloc de apartamente,P+4E,NaN,NaN,NaN,44.4061111,26.0744444,Rahova,85.000 
145,2,79,NaN,NaN,decomand,1,Etaj 1 / 10,NaN,NaN,Între 1941 şi 1977,NaN,bloc de apartamente,P+10E,NaN,NaN,NaN,44.4368748,26.1478981,Vatra Luminoasă,128.000 
146,2,49,NaN,57,decomand,1,Etaj 1 / 7,1,1,2021 (finalizata),altele,bloc de apartamente,P+7E,NaN,1,1,44.4135523,26.2018895,Theodor Pallady,53.490 
147,2,59,NaN,69,decomand,1,Etaj 7 / 8,NaN,1,1988,beton,bloc de apartamente,P+8E,NaN,1,2,44.4136935,26.1193613,Vitan Mall,91.999 
148,1,47,NaN,NaN,decomand,1,Etaj 2 / 3,NaN,NaN,2020,NaN,bloc de apartamente,P+3E,NaN,NaN,NaN,44.483828,26.0273232,Bucureştii Noi,58.998 
